STATUS,RESEARCHER,BLD_TYPE,STREET_1,STREET_2,CITY,STATE,ZIP,LAT,LON,FLOOD_ZONE,BFE_FT,STAIRS,ROOF_PIX_L,ROOF_PIX_R,FFE_PIX_B,FFE_PIX_T,ROOF_INCH,GARAGE,LE,FIPS,BLD_ID,ELEV_GUESS,FLOOD_CLAIM,CONF,GSV_YR,GMAP_YR,GE_YR,EC_LEV1,EC_LEV2,EC_DATUM,EC_DATE,EC1_NAVD88,EC2_NAVD88,Ground_El,LAT,LON,Stairs_El,Pix_El,Combo_El,GRD_STA,GRD_PIX,GRD_COMBO,FFE_STA,FFE_PIX,FFE_COMBO,FFE_USE,GND_TRUTH,Andrew_92,Andrew_IN,100_YR,100_IN,BFE_DIF,NOTES,NOTES2
COMPLETED,kara0494@gmail.com,Dwelling,20540,Anchor Rd,Cutler Bay,FL,33189,25.576169,-80.357913,AE,8,1.5,-999,-999,-999,-999,-999,N,Y,,,0.7,,5,2016,2019,2017,,,,,,,6.03,25.576169,-80.357913,0.9375,#DIV/0!,#DIV/0!,6.9675,#DIV/0!,#DIV/0!,7.2775,#DIV/0!,#DIV/0!,7.2775,,10.25,2.9725,13.88,6.6025,,,
COMPLETED,kara0494@gmail.com,Dwelling,20550,Anchor Rd,Cutler Bay,FL,33189,25.575906,-80.357927,AE,8,1.5,-999,-999,-999,-999,-999,Y,Y,,,0.7,,5,2016,2019,2017,,,,,,,6.02,25.575906,-80.357927,0.9375,#DIV/0!,#DIV/0!,6.9575,#DIV/0!,#DIV/0!,7.2675,#DIV/0!,#DIV/0!,7.2675,,10.25,2.9825,13.88,6.6125,,,
COMPLETED,kara0494@gmail.com,Dwelling,20600,Anchor Rd,Cutler Bay,FL,33189,25.575717,-80.357907,AE,8,1.5,-999,-999,-999,-999,-999,N,Y,,,0.7,,5,2016,2019,2017,,,,,,,6.06,25.575717,-80.357907,0.9375,#DIV/0!,#DIV/0!,6.9975,#DIV/0!,#DIV/0!,7.3075,#DIV/0!,#DIV/0!,7.3075,,10.25,2.9425,13.88,6.5725,,,
COMPLETED,kara0494@gmail.com,Dwelling,20610,Anchor Rd,Cutler Bay,FL,33189,25.575503,-80.357907,AE,8,0.5,-999,-999,-999,-999,-999,Y,Y,,,0.3,,5,2016,2019,2017,,,,,,,6.04,25.575503,-80.357907,0.3125,#DIV/0!,#DIV/0!,6.3525,#DIV/0!,#DIV/0!,6.6625,#DIV/0!,#DIV/0!,6.6625,,10.25,3.5875,13.88,7.2175,,,
COMPLETED,kara0494@gmail.com,Dwelling,20620,Anchor Rd,Cutler Bay,FL,33189,25.575275,-80.357901,X,-999,1.5,-999,-999,-999,-999,-999,N,Y,,,0.5,,5,2016,2019,2017,,,,,,,6.37,25.575275,-80.357901,0.9375,#DIV/0!,#DIV/0!,7.3075,#DIV/0!,#DIV/0!,7.6175,#DIV/0!,#DIV/0!,7.6175,,10.25,2.6325,13.88,6.2625,,,
COMPLETED,kara0494@gmail.com,Dwelling,20630,Anchor Rd,Cutler Bay,FL,33189,25.575024,-80.357925,X,-999,0.5,-999,-999,-999,-999,-999,N,Y,,,0.3,,5,2016,2019,2017,,,,,,,6.33,25.575024,-80.357925,0.3125,#DIV/0!,#DIV/0!,6.6425,#DIV/0!,#DIV/0!,6.9525,#DIV/0!,#DIV/0!,6.9525,,10.25,3.2975,13.88,6.9275,,,
COMPLETED,kara0494@gmail.com,Dwelling,20700,Anchor Rd,Cutler Bay,FL,33189,25.574836,-80.357899,AE,8,0.5,-999,-999,-999,-999,-999,N,Y,,,0.2,,4,2016,2019,2017,,,,,,,5.64,25.574836,-80.357899,0.3125,#DIV/0!,#DIV/0!,5.9525,#DIV/0!,#DIV/0!,6.2625,#DIV/0!,#DIV/0!,6.2625,,10.25,3.9875,13.88,7.6175,,,
COMPLETED,kara0494@gmail.com,Dwelling,20710,Anchor Rd,Cutler Bay,FL,33189,25.574621,-80.357893,AE,8,0.5,-999,-999,-999,-999,-999,N,Y,,,0.1,,5,2016,2019,2017,,,,,,,5.92,25.574621,-80.357893,0.3125,#DIV/0!,#DIV/0!,6.2325,#DIV/0!,#DIV/0!,6.5425,#DIV/0!,#DIV/0!,6.5425,,10.25,3.7075,13.88,7.3375,,,
COMPLETED,kara0494@gmail.com,Dwelling,20720,Anchor Rd,Cutler Bay,FL,33189,25.574371,-80.357912,AE,8,2,-999,-999,-999,-999,-999,N,Y,,,1,,5,2016,2019,2017,,,,,,,5.71,25.574371,-80.357912,1.25,#DIV/0!,#DIV/0!,6.96,#DIV/0!,#DIV/0!,7.27,#DIV/0!,#DIV/0!,7.27,,10.25,2.98,13.88,6.61,,,
COMPLETED,kara0494@gmail.com,Dwelling,20730,Anchor Rd,Cutler Bay,FL,33189,25.574197,-80.35789,AE,8,1.5,-999,-999,-999,-999,-999,Y,Y,,,0.7,,5,2016,2019,2017,,,,,,,5.71,25.574197,-80.35789,0.9375,#DIV/0!,#DIV/0!,6.6475,#DIV/0!,#DIV/0!,6.9575,#DIV/0!,#DIV/0!,6.9575,,10.25,3.2925,13.88,6.9225,,,
COMPLETED,kara0494@gmail.com,Dwelling,20740,Anchor Rd,Cutler Bay,FL,33189,25.573959,-80.357908,AE,8,1,-999,-999,-999,-999,-999,N,Y,,,0.8,,5,2016,2019,2017,,,,,,,5.67,25.573959,-80.357908,0.625,#DIV/0!,#DIV/0!,6.295,#DIV/0!,#DIV/0!,6.605,#DIV/0!,#DIV/0!,6.605,,10.25,3.645,13.88,7.275,,,
